상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220808609389,중앙감속기,서양식,4.1,0.0,0.0,16,0,서울특별시 성동구 성수일로6길 7-1,성수2가제3동,37.545574,127.051087,0.0
MA010120220806684244,훔볼트,카페,4.0,-0.26,18.32,84,0,서울특별시 성동구 성수이로 58,성수2가제1동,37.540095,127.055599,98.3
MA010120220802884575,성수다락,서양식,3.9,0.0,0.0,58,0,서울특별시 성동구 뚝섬로9길 20,성수2가제1동,37.539943,127.05624,100.0
MA010120220800456082,문화식당,서양식,4.0,-0.5,0.0,39,420,서울특별시 성동구 성수일로4길 45,성수2가제1동,37.542322,127.053827,100.0
MA010120220805080533,그레이트커피 서울숲점,카페,4.0,-0.3,7.41,13,0,서울특별시 성동구 서울숲2길 6,성수1가제2동,37.547711,127.039628,100.0
MA010120220806760736,에이투비 Cafe&Bar,카페,4.6,0.63,10.91,7,257,서울특별시 성동구 아차산로 135,성수2가제3동,37.54389,127.05894,97.6
MA010120220814221305,성수옥상,서양식,5.0,-0.71,0.0,10,0,서울특별시 성동구 연무장17길 5,성수2가제3동,37.541258,127.060944,95.4
MA010120220808925038,소바식당,일식,3.8,-0.61,8.33,62,0,서울특별시 성동구 연무장7가길 6,성수2가제3동,37.543014,127.054992,91.7
MA010120220810324308,멜라 성수점,패스트푸드,4.9,0.24,14.29,6,0,서울특별시 성동구 연무장길 39-25,성수2가제3동,37.543479,127.053954,100.0
MA010120220813040302,더즌오이스터 성수,서양식,4.2,-0.14,11.11,19,1103,서울특별시 성동구 서울숲4길 12-7,성수1가제2동,37.547271,127.042235,100.0
MA010120220811077029,팩피,서양식,4.3,0.05,0.0,48,8755,서울특별시 성동구 왕십리로 136,성수1가제2동,37.54969,127.044561,100.0
MA010120220803025551,서울앵무새,카페,4.0,1.5,0.0,18,490,서울특별시 성동구 서울숲9길 3,성수1가제2동,37.548327,127.043554,100.0
MA010120220803779736,고흥만,한식,4.5,0.0,14.29,23,0,서울특별시 성동구 뚝섬로3길 9,성수1가제1동,37.541034,127.049144,100.0
MA010120220811670359,세스크멘슬,서양식,4.4,1.0,0.0,34,4006,서울특별시 성동구 성수이로14길 7,성수2가제1동,37.541049,127.056403,100.0
MA010120220814242904,송계옥성수점,한식,4.2,1.0,0.0,16,305,서울특별시 성동구 아차산로11길 11,성수2가제3동,37.544777,127.059348,66.7
MA010120220812289011,성수명당,서양식,4.1,0.0,0.0,19,0,서울특별시 성동구 연무장19길 10,성수2가제3동,37.541079,127.062711,0.0
MA010120220810057496,미도인 성수,서양식,4.2,-0.48,10.77,15,0,서울특별시 성동구 연무장7가길 3,성수2가제3동,37.543234,127.054856,96.7
MA010120220803803056,비사벌전주콩나물국밥,한식,4.2,0.0,0.0,151,758,서울특별시 성동구 왕십리로6길 1-2,성수1가제2동,37.54628,127.045023,100.0
MA010120220802871259,할머니의 레시피,한식,4.1,-0.14,16.79,519,0,서울특별시 성동구 서울숲2길 44-12,성수1가제2동,37.546172,127.043084,98.2
MA010120220812394438,우동가조쿠 성수점,일식,4.2,1.0,0.0,32,409,서울특별시 성동구 연무장길 9,성수2가제3동,37.54397,127.050629,100.0
MA010120220805415596,밀도,카페,4.2,0.0,0.0,241,3791,서울특별시 성동구 왕십리로 96,성수1가제2동,37.546276,127.044904,100.0
