상가업소번호,가게명,keyword30_1,keyword30_2
MA010120220808201784,고든램지 스트리트 피자 서울숲점,"[('', 9971), ('피자', 1111), ('먹다', 572), ('맛있다', 341), ('맛', 253), ('좋다', 227), ('나오다', 184), ('보다', 181), ('않다', 180), ('다', 157), ('램지', 149), ('고든', 140), ('가다', 135), ('기다리다', 114), ('적', 113), ('없다', 109), ('되다', 103), ('방문', 101), ('생각', 98), ('직원', 97), ('만', 94), ('화덕', 91), ('한번', 89), ('비', 88), ('피클', 87), ('종류', 86), ('아니다', 84), ('마르', 83), ('주다', 81), ('친절하다', 81), ('별로', 79), ('정도', 79), ('예약', 73), ('가격', 72), ('오다', 72), ('받다', 70), ('도우', 69), ('못', 68), ('조각', 65), ('들다', 64), ('많다', 64), ('고', 63), ('사람', 62), ('가보다', 61), ('해주다', 61), ('괜찮다', 59), ('게리', 57), ('따다', 57), ('인데', 57), ('사이드', 56)]","[('', 183), ('피자', 134), ('맛있다', 93), ('먹다', 86), ('좋다', 60), ('맛', 56), ('않다', 44), ('나오다', 43), ('가다', 28), ('고든 램지', 28), ('친절하다', 27), ('없다', 26), ('직원', 26), ('기다리다', 25), ('아니다', 24), ('피클', 21), ('많다', 20), ('예약', 20), ('가격', 19), ('괜찮다', 19), ('그냥', 18), ('도우', 18), ('오다', 18), ('피자 맛', 17), ('되다', 16), ('많이', 16), ('받다', 16), ('생각', 16), ('주다', 16), ('피자 나오다', 16), ('가성비', 15), ('계속', 15), ('들다', 15), ('보다', 15), ('사람', 15), ('들어가다', 14), ('마르 게리 따다', 14), ('방문', 14), ('싶다', 14), ('얇다', 14), ('피자 먹다', 14), ('한번', 14), ('한번 쯤', 14), ('화덕 피자', 14), ('       ', 13), ('그렇다', 13), ('맛있게 먹다', 13), ('알다', 13), ('종류', 13), ('페퍼로니', 13)]"
MA010120220802991908,쎄콩데live,"[('', 4370), ('맛있다', 517), ('좋다', 384), ('먹다', 191), ('잼', 157), ('분위기', 136), ('오다', 136), ('친절하다', 130), ('음식', 115), ('브런치', 111), ('메뉴', 100), ('예쁘다', 93), ('다양하다', 92), ('도넛', 87), ('종류', 79), ('보다', 76), ('많다', 75), ('매장', 71), ('에그인헬', 63), ('와인', 63), ('콩', 62), ('랑', 60), ('커피', 58), ('추천', 57), ('음료', 56), ('맛', 55), ('직원', 55), ('포트', 54), ('방문', 49), ('니', 46), ('시', 46), ('고르다', 44), ('다', 43), ('처', 40), ('않다', 38), ('님', 37), ('사장', 37), ('토마토', 36), ('곳', 35), ('쎄다', 33), ('인테리어', 33), ('깔끔하다', 32), ('만', 32), ('신선하다', 32), ('엄청', 31), ('째다', 31), ('체리', 31), ('맛집', 30), ('샌드위치', 30), ('설명', 29)]","[('', 195), ('맛있다', 161), ('좋다', 110), ('분위기', 45), ('친절하다', 43), ('먹다', 42), ('음식', 37), ('잼', 37), ('오다', 36), ('다양하다', 33), ('브런치', 33), ('예쁘다', 29), ('도넛', 25), ('메뉴', 25), ('종류', 25), ('매장', 23), ('좋은 분위기', 23), ('많다', 22), ('에그인헬', 21), ('직원', 19), ('맛있는 음식', 18), ('맛', 16), ('음료', 14), ('커피', 14), ('인테리어', 13), ('고르다', 12), ('맛있게 먹다', 12), ('먹다 보다', 12), ('사장님', 12), ('와인', 12), ('추천', 12), ('콩 포트', 12), ('깔끔하다', 11), ('시그니처', 11), ('않다', 11), ('귀엽다', 10), ('많은 종류', 10), ('방문', 10), ('신선하다', 10), ('친절한 직원', 10), ('가다', 9), ('즐기다', 9), ('샌드위치', 8), ('스프레드', 8), ('엄청', 8), ('재미', 8), ('째다', 8), ('곳', 7), ('다양하다 잼', 7), ('맛보다', 7)]"
MA010120220814221305,성수옥상,"[('', 4289), ('좋다', 711), ('분위기', 444), ('맛있다', 411), ('음식', 208), ('와인', 185), ('오다', 157), ('친절하다', 131), ('안주', 100), ('친구', 98), ('직원', 76), ('랑', 75), ('예쁘다', 75), ('방문', 67), ('생일', 64), ('추천', 62), ('이랑', 58), ('다', 51), ('성수', 43), ('맛', 42), ('싶다', 42), ('메뉴', 41), ('먹다', 40), ('보다', 40), ('완전', 40), ('가다', 39), ('보내다', 37), ('옥상', 32), ('와인잔', 32), ('곳', 31), ('인테리어', 31), ('꾸미다', 30), ('데이트', 30), ('많다', 30), ('연말', 30), ('요', 30), ('님', 29), ('대화', 29), ('사장', 29), ('야외', 28), ('나오다', 27), ('만', 27), ('오기', 27), ('파스타', 27), ('파티', 26), ('재밌다', 25), ('노래', 24), ('비', 24), ('공간', 23), ('내부', 23)]","[('', 188), ('좋다', 166), ('분위기', 153), ('맛있다', 135), ('좋은 분위기', 80), ('음식', 67), ('와인', 46), ('맛있는 음식', 45), ('친절하다', 45), ('오다', 39), ('안주', 28), ('직원', 24), ('좋다 음식', 23), ('맛있다 분위기', 21), ('예쁘다', 21), ('싶다', 17), ('가다', 16), ('방문', 16), ('친절한 직원', 16), ('친구', 15), ('먹다', 13), ('안주 맛있다', 13), ('추천', 13), ('맛', 12), ('보내다', 11), ('와인잔', 11), ('인테리어', 11), ('대화', 10), ('데이트', 10), ('맛있다 와인', 10), ('완전', 10), ('좋다 맛있다', 10), ('친구 이랑', 10), ('메뉴', 9), ('생일', 9), ('성수', 9), ('오기', 9), ('재밌다', 9), ('좋다 와인', 9), ('노래', 8), ('많다', 8), ('오다 싶다', 8), ('좋다 안주', 8), ('친절하다 음식', 8), ('가성비', 7), ('꾸미다', 7), ('나오다', 7), ('오랜 만', 7), ('친절하다 좋다', 7), ('파스타', 7)]"
2223,누데이크 성수점,"[('', 3506), ('맛있다', 224), ('케이크', 184), ('좋다', 143), ('먹다', 141), ('디저트', 104), ('맛', 102), ('보다', 87), ('빵', 74), ('많다', 70), ('다', 60), ('분위기', 59), ('커피', 50), ('가다', 48), ('오다', 44), ('사람', 43), ('않다', 41), ('이크', 40), ('크림', 40), ('피크', 40), ('싶다', 39), ('매장', 38), ('방문', 38), ('독특하다', 37), ('직원', 37), ('요', 36), ('특별하다', 36), ('누데', 35), ('자리', 35), ('카페', 35), ('친절하다', 34), ('예약', 33), ('음료', 33), ('인테리어', 33), ('크다', 33), ('한번', 31), ('느낌', 30), ('비싸다', 30), ('특이하다', 30), ('유명하다', 29), ('가격', 28), ('날', 28), ('들다', 27), ('구매', 26), ('서다', 26), ('아쉽다', 26), ('누', 24), ('데이', 24), ('되다', 24), ('아니다', 23)]","[('', 106), ('맛있다', 76), ('좋다', 46), ('케이크', 40), ('디저트', 27), ('맛', 22), ('먹다', 19), ('분위기', 19), ('많다', 18), ('빵', 15), ('싶다', 14), ('커피', 14), ('가다', 13), ('굿굿굿', 13), ('누데 이크', 13), ('인테리어', 13), ('독특하다', 12), ('직원', 12), ('특이하다', 12), ('매장', 11), ('사람', 11), ('특별하다', 11), ('피크 케이크', 11), ('비싸다', 10), ('친절하다', 10), ('가격', 9), ('유명하다', 9), ('음료', 9), ('크림', 9), ('느낌', 8), ('먹다 보다', 8), ('방문', 8), ('아쉽다', 8), ('않다', 8), ('자리', 8), ('피크', 8), ('날', 7), ('아니다', 7), ('예약', 7), ('한번 쯤', 7), ('공간', 6), ('누 데이 크다', 6), ('다양하다', 6), ('되다', 6), ('들다', 6), ('멋있다', 6), ('별로', 6), ('사람 많다', 6), ('성수', 6), ('좋아하다', 6)]"
MA010120220807012300,크림라벨 서울숲 본점,"[('', 3645), ('맛있다', 440), ('케이크', 412), ('딸기', 257), ('먹다', 220), ('크림', 172), ('좋다', 105), ('생크림', 80), ('보다', 78), ('예약', 73), ('않다', 71), ('들다', 68), ('맛', 63), ('무화과', 60), ('친절하다', 56), ('크리스마스', 55), ('다', 48), ('라벨', 47), ('예쁘다', 46), ('이르다', 44), ('생일', 43), ('많이', 38), ('부드럽다', 38), ('달', 37), ('고', 36), ('주다', 35), ('빵', 33), ('좋아하다', 33), ('에도', 32), ('오다', 32), ('구매', 31), ('지다', 31), ('가족', 30), ('들어가다', 29), ('서다', 29), ('픽업', 29), ('해주다', 29), ('주문', 28), ('가다', 27), ('작다', 27), ('달다', 26), ('시트', 26), ('집', 26), ('미니', 25), ('가득', 24), ('느끼하다', 24), ('선물', 24), ('근데', 23), ('만', 23), ('아니다', 23)]","[('', 147), ('맛있다', 135), ('케이크', 74), ('먹다', 42), ('좋다', 34), ('딸기', 33), ('크림', 32), ('딸기케이크', 21), ('예약', 21), ('친절하다', 20), ('않다', 19), ('생크림', 18), ('크리스마스', 17), ('맛', 16), ('맛있게 먹다', 16), ('들다', 15), ('예쁘다', 14), ('크림 라벨', 14), ('무화과', 13), ('많이', 12), ('먹다 보다', 12), ('부드럽다', 11), ('좋아하다', 10), ('케이크 ', 10), ('달 지 않다', 9), ('무화과 케이크', 9), ('주다', 9), ('감사하다', 8), ('빵', 8), ('주문', 8), ('픽업', 8), ('가다', 7), ('근데', 7), ('달 지', 7), ('달다', 7), ('들어가다', 7), ('아니다', 7), ('없다', 7), ('오다', 7), ('작다', 7), ('적당하다', 7), ('집', 7), ('구매', 6), ('느끼하다', 6), ('듬뿍', 6), ('맛있다 케이크', 6), ('사이즈', 6), ('생일', 6), ('시트', 6), ('아쉽다', 6)]"
MA010120220804611115,캐주얼성수,"[('', 2982), ('좋다', 564), ('분위기', 333), ('맛있다', 290), ('와인', 175), ('음식', 120), ('친절하다', 100), ('안주', 72), ('오다', 71), ('예쁘다', 62), ('먹다', 55), ('직원', 46), ('뇨끼', 44), ('랑', 40), ('피자', 40), ('다', 38), ('연말', 38), ('노래', 36), ('와인잔', 36), ('인테리어', 35), ('꾸미다', 33), ('많다', 33), ('성수', 33), ('바', 32), ('방문', 31), ('음악', 30), ('매장', 29), ('사진', 29), ('친구', 29), ('맛집', 27), ('추천', 27), ('데이트', 26), ('오기', 24), ('장소', 23), ('완전', 22), ('이랑', 22), ('메뉴', 21), ('모임', 21), ('보다', 21), ('다양하다', 20), ('라자냐', 20), ('크리스마스', 20), ('대화', 18), ('술', 18), ('크림', 18), ('파티', 18), ('해주다', 18), ('니', 16), ('존맛', 16), ('가격', 15)]","[('', 145), ('좋다', 129), ('분위기', 108), ('맛있다', 92), ('좋은 분위기', 49), ('음식', 40), ('맛있는 음식', 35), ('와인', 33), ('친절하다', 33), ('안주', 23), ('오다', 21), ('직원', 17), ('맛있다 분위기', 16), ('예쁘다', 16), ('좋다 음식', 14), ('와인잔', 13), ('노래', 12), ('피자', 12), ('많다', 11), ('성수', 11), ('안주 맛있다', 11), ('인테리어', 11), ('뇨끼', 10), ('매장', 10), ('연말', 10), ('음악', 10), ('친절한 직원', 10), ('꾸미다', 9), ('먹다', 9), ('사진', 9), ('와인바', 9), ('오기', 8), ('추천', 8), ('다양하다', 7), ('데이트', 7), ('맛있다 와인', 7), ('예쁜 인테리어', 7), ('완전', 7), ('장소', 7), ('좋다 와인', 7), ('가다', 6), ('대화', 6), ('라자냐', 6), ('메뉴', 6), ('모임', 6), ('방문', 6), ('술', 6), ('연말 분위기', 6), ('좋다 분위기', 6), ('좋다 직원', 6)]"
MA010120220803025584,테니,"[('', 2880), ('맛있다', 288), ('좋다', 171), ('빵', 113), ('먹다', 112), ('맛', 72), ('퀸', 72), ('망', 69), ('커피', 66), ('예쁘다', 57), ('보다', 54), ('분위기', 50), ('인테리어', 45), ('다', 41), ('많다', 41), ('브런치', 39), ('가다', 37), ('종류', 37), ('랑', 33), ('들다', 31), ('만', 30), ('메뉴', 30), ('직원', 30), ('테라스', 30), ('없다', 28), ('친절하다', 26), ('싶다', 25), ('그렇다', 24), ('디저트', 24), ('맛집', 24), ('슈', 24), ('자리', 24), ('샌드위치', 23), ('기본', 21), ('넓다', 21), ('매장', 21), ('않다', 21), ('이랑', 21), ('그냥', 20), ('카페', 20), ('방문', 19), ('식사', 19), ('사람', 18), ('스프', 18), ('즐기다', 18), ('크림', 18), ('포장', 18), ('니', 17), ('아니다', 17), ('엄청', 17)]","[('', 93), ('맛있다', 89), ('좋다', 51), ('빵', 30), ('퀸 망', 23), ('예쁘다', 19), ('커피', 17), ('분위기', 16), ('인테리어', 15), ('먹다', 14), ('많다', 13), ('빵 맛있다', 13), ('맛', 12), ('좋은 분위기', 12), ('먹다 보다', 11), ('디저트', 10), ('브런치', 10), ('직원', 10), ('친절하다', 10), ('종류', 9), ('테라스', 9), ('가다', 8), ('그렇다', 8), ('메뉴', 8), ('싶다', 8), ('굿굿굿', 7), ('넓다', 7), ('매장', 7), ('샌드위치', 7), ('않다', 7), ('그냥', 6), ('맛있는 커피', 6), ('없다', 6), ('다양하다', 5), ('들다', 5), ('많은 종류', 5), ('방문', 5), ('비싸다', 5), ('사다', 5), ('사람', 5), ('아니다', 5), ('엄청', 5), ('예쁜 인테리어', 5), ('음식', 5), ('자리', 5), ('즐기다', 5), ('가격', 4), ('깔끔하다', 4), ('나오다', 4), ('넓은 매장', 4)]"
MA010120220809866172,노이,"[('', 3410), ('맛있다', 360), ('먹다', 220), ('쌀국수', 196), ('좋다', 164), ('양', 108), ('많다', 105), ('음식', 105), ('맛', 90), ('팟타이', 84), ('인테리어', 79), ('고', 78), ('랭', 77), ('나시', 75), ('베트남', 75), ('짜조', 69), ('예쁘다', 68), ('분위기', 54), ('맛집', 53), ('오다', 53), ('메뉴', 52), ('보다', 52), ('소고기', 52), ('친절하다', 52), ('랑', 50), ('깔끔하다', 49), ('짜다', 49), ('다', 47), ('분', 45), ('않다', 43), ('국물', 42), ('적', 42), ('방문', 38), ('가다', 36), ('성수', 33), ('직원', 32), ('진하다', 32), ('매장', 31), ('주문', 28), ('추천', 28), ('가성', 27), ('비', 27), ('웨이', 27), ('팅', 27), ('매다', 26), ('국밥', 24), ('되다', 24), ('스프링롤', 24), ('이랑', 24), ('해물', 24)]","[('', 119), ('맛있다', 102), ('좋다', 50), ('먹다', 43), ('쌀국수', 43), ('많다', 30), ('양', 29), ('인테리어', 28), ('음식', 25), ('맛', 22), ('나시 고 랭', 20), ('예쁘다', 20), ('많은 양', 19), ('짜조', 19), ('깔끔하다', 17), ('분위기', 17), ('팟타이', 17), ('소고기쌀국수', 16), ('친절하다', 16), ('베트남', 15), ('맛집', 14), ('메뉴', 14), ('오다', 13), ('매장', 12), ('국물', 11), ('진하다', 11), ('가다', 10), ('굿굿굿', 10), ('베트남 음식', 10), ('직원', 10), ('주문', 9), ('가성비', 8), ('맛있게 먹다', 8), ('먹다 보다', 8), ('분 짜다', 8), ('않다', 8), ('맛있는 음식', 7), ('성수동', 7), ('좋아하다', 7), ('추천', 7), ('깨끗하다', 6), ('내부', 6), ('들다', 6), ('방문', 6), ('성수', 6), ('스프링롤', 6), ('가성비 좋다', 5), ('괜찮다', 5), ('되다', 5), ('많이', 5)]"
MA010120220809708157,테디스오븐,"[('', 3278), ('좋다', 215), ('맛있다', 185), ('디저트', 141), ('예쁘다', 116), ('귀엽다', 88), ('분위기', 83), ('카페', 80), ('많다', 72), ('인테리어', 72), ('커피', 66), ('곰돌이', 55), ('먹다', 55), ('맛', 50), ('음료', 49), ('타르트', 48), ('다', 46), ('티', 44), ('사진', 42), ('자리', 40), ('크리스마스', 39), ('라떼', 36), ('않다', 34), ('웨이', 33), ('직원', 33), ('층', 33), ('테라스', 33), ('들어가다', 31), ('팅', 31), ('가다', 30), ('앉다', 30), ('추천', 30), ('케이크', 30), ('꾸미다', 29), ('많이', 28), ('아기자기하다', 28), ('이르다', 28), ('곳', 27), ('에는', 27), ('따뜻하다', 26), ('랑', 25), ('방문', 25), ('사람', 25), ('오다', 25), ('친절하다', 25), ('파블로바', 25), ('달다', 23), ('밀크', 23), ('느낌', 22), ('들다', 22)]","[('', 96), ('좋다', 61), ('맛있다', 59), ('디저트', 43), ('예쁘다', 33), ('인테리어', 25), ('귀엽다', 24), ('분위기', 23), ('카페', 19), ('많다', 16), ('커피', 15), ('맛있는 디저트', 14), ('곰돌이', 13), ('먹다', 12), ('음료', 12), ('크리스마스', 12), ('자리', 11), ('좋은 분위기', 11), ('아기자기하다', 10), ('직원', 10), ('친절하다', 10), ('가다', 9), ('굿굿굿', 9), ('들어가다', 9), ('앉다', 9), ('꾸미다', 8), ('맛', 8), ('맛있는 커피', 8), ('사람', 8), ('않다', 8), ('테라스', 8), ('들다', 7), ('따뜻하다', 7), ('많이', 7), ('방문', 7), ('사진', 7), ('예쁜 인테리어', 7), ('타르트', 7), ('그냥', 6), ('나서다', 6), ('내부', 6), ('느낌', 6), ('달다', 6), ('밀크티', 6), ('오다', 6), ('주다', 6), ('크리스마스 분위기', 6), ('파블로바', 6), ('2 층', 5), ('맛있다 디저트', 5)]"
MA010120220806478840,데우스 카페 성수점,"[('', 1843), ('좋다', 217), ('맛있다', 192), ('분위기', 141), ('버거', 75), ('다', 69), ('커피', 61), ('보다', 50), ('방문', 43), ('먹다', 39), ('친절하다', 39), ('매장', 36), ('시', 34), ('인테리어', 34), ('햄버거', 32), ('힙하', 32), ('니', 31), ('처', 28), ('데', 27), ('음료', 26), ('카페', 25), ('우스', 24), ('음식', 24), ('직원', 24), ('오다', 23), ('예쁘다', 21), ('카푸치노', 21), ('랑', 20), ('많다', 18), ('옷', 18), ('이르다', 18), ('생기', 17), ('고', 15), ('말다', 15), ('수', 15), ('크다', 15), ('패티', 15), ('음악', 14), ('공간', 13), ('깔끔하다', 13), ('맛', 13), ('이랑', 13), ('구경', 12), ('메뉴', 12), ('비', 12), ('가다', 11), ('가보다', 11), ('곳', 11), ('라떼', 11), ('리다', 11)]","[('', 79), ('좋다', 71), ('맛있다', 66), ('분위기', 51), ('좋은 분위기', 31), ('친절하다', 15), ('커피', 15), ('버거', 13), ('힙하다', 13), ('인테리어', 12), ('매장', 11), ('방문', 11), ('햄버거', 11), ('음료', 9), ('음식', 9), ('카페', 9), ('맛있는 커피', 8), ('데 우스', 7), ('맛있다 분위기', 7), ('시그니처', 7), ('예쁘다', 7), ('오다', 7), ('직원', 7), ('많다', 6), ('맛있는 음료', 6), ('   ', 5), ('공간', 5), ('깔끔하다', 5), ('맛', 5), ('먹다', 5), ('보다', 5), ('친절한 직원', 5), ('    버거', 4), ('    카푸치노', 4), ('가보다', 4), ('먹다 보다', 4), ('메뉴', 4), ('생기다', 4), ('성수', 4), ('않다', 4), ('양', 4), ('조용하다', 4), ('카푸치노', 4), ('크다', 4), ('편하다', 4), ('구경', 3), ('다시', 3), ('들다', 3), ('따뜻하다', 3), ('말다', 3)]"
