상가업소번호,가게명,keyword30_1,keyword30_2
1113,도토리가든,"[('', 8759), ('맛있다', 538), ('좋다', 360), ('도토리', 335), ('빵', 311), ('너무', 285), ('요거트', 245), ('귀엽다', 235), ('다', 177), ('인테리어', 167), ('많다', 166), ('마들렌', 162), ('먹다', 157), ('카페', 150), ('보다', 145), ('분위기', 128), ('예쁘다', 126), ('맛', 125), ('그릭', 119), ('디저트', 117), ('오다', 109), ('웨이', 102), ('팅', 98), ('까눌레', 94), ('방문', 94), ('가다', 93), ('곳', 93), ('음료', 89), ('자리', 89), ('가든', 87), ('진짜', 78), ('직원', 74), ('브런치', 72), ('커피', 71), ('없다', 69), ('가격', 65), ('그렇다', 65), ('들어가다', 65), ('정말', 65), ('종류', 65), ('지브리', 65), ('들다', 64), ('모양', 62), ('아기자기하다', 62), ('메뉴', 59), ('소금', 56), ('나오다', 55), ('느낌', 55), ('비싸다', 55), ('이르다', 54)]","[('맛있다', 115), ('', 114), ('좋다', 88), ('귀엽다', 64), ('너무', 59), ('도토리', 47), ('빵', 42), ('인테리어', 40), ('마들렌', 39), ('많다', 33), ('그릭 요거트', 29), ('디저트', 29), ('예쁘다', 29), ('먹다', 28), ('분위기', 28), ('까눌레', 26), ('가다', 25), ('요거트', 25), ('카페', 25), ('오다', 24), ('웨이팅', 24), ('맛', 21), ('방문', 19), ('너무 귀엽다', 18), ('도토리 마들렌', 18), ('브런치', 18), ('음료', 18), ('진짜', 18), ('리뷰', 16), ('비싸다', 16), ('친절하다', 16), ('대체', 15), ('대체 리뷰', 15), ('도토리 가든', 15), ('들어가다', 15), ('정말', 15), ('그렇다', 14), ('분위기 좋다', 14), ('빵 맛있다', 14), ('아기자기하다', 14), ('자리', 14), ('커피', 14), ('가격', 13), ('도토리빵', 13), ('맛있다 ', 13), ('없다', 13), ('나오다', 12), ('너무 좋다', 12), ('느낌', 12), ('들다', 12)]"
1109,어니언안국,"[('', 4535), ('맛있다', 271), ('빵', 258), ('좋다', 217), ('많다', 189), ('커피', 150), ('먹다', 123), ('사람', 115), ('너무', 112), ('한', 103), ('옥', 100), ('맛', 81), ('가다', 77), ('자리', 75), ('분위기', 71), ('다', 64), ('보다', 62), ('않다', 60), ('없다', 60), ('어니언', 56), ('카페', 55), ('외국인', 54), ('기다리다', 53), ('직원', 52), ('대체', 50), ('리뷰', 50), ('친절하다', 50), ('소금', 47), ('엄청', 46), ('줄', 46), ('인테리어', 43), ('예쁘다', 42), ('만', 41), ('매장', 41), ('이르다', 39), ('가보다', 37), ('엔', 37), ('웨이', 37), ('팅', 37), ('생각', 36), ('오다', 36), ('인', 36), ('정말', 36), ('방문', 35), ('도르다', 34), ('안국', 33), ('팡', 33), ('베이커리', 31), ('분들', 31), ('주문', 30)]","[('좋다', 69), ('', 63), ('맛있다', 59), ('많다', 48), ('빵', 42), ('커피', 33), ('사람', 29), ('너무', 26), ('대체', 25), ('대체 리뷰', 25), ('리뷰', 25), ('한옥', 25), ('맛있다 ', 22), ('먹다', 22), ('분위기', 22), ('가다', 19), ('어니언', 16), ('외국인', 16), ('친절하다', 16), ('분위기 좋다', 14), ('사람 많다', 14), ('없다', 14), ('매장', 13), ('빵 맛있다', 13), ('소금빵', 13), ('예쁘다', 13), ('인테리어', 11), ('맛있는 커피', 10), ('않다', 10), ('엄청', 10), ('웨이팅', 10), ('자리', 10), ('카페', 10), ('가보다', 9), ('맛', 9), ('정말', 9), ('기다리다', 8), ('진짜', 8), ('포장', 8), ('너무 많다', 7), ('너무 맛있다', 7), ('안국', 7), ('직원', 7), ('팡 도르다', 7), ('관광객', 6), ('넓다', 6), ('다양하다', 6), ('많이', 6), ('먹다 보다', 6), ('방문', 6)]"
1104,오설록티 하우스 북촌점,"[('', 4510), ('좋다', 293), ('맛있다', 160), ('너무', 135), ('티', 118), ('녹차', 108), ('오설록', 108), ('향', 83), ('칵테일', 81), ('차', 77), ('말다', 76), ('디저트', 74), ('층', 68), ('되다', 64), ('맛', 61), ('북촌', 57), ('않다', 57), ('음료', 55), ('가다', 54), ('보다', 52), ('분위기', 52), ('많다', 51), ('없다', 49), ('다', 47), ('메뉴', 46), ('사람', 45), ('곳', 44), ('친절하다', 42), ('대체', 40), ('리뷰', 40), ('오다', 39), ('3', 38), ('들다', 38), ('예쁘다', 38), ('느낌', 36), ('먹다', 36), ('하우스', 36), ('시', 35), ('인테리어', 34), ('자리', 33), ('주다', 33), ('생각', 32), ('직원', 32), ('고', 30), ('클래스', 29), ('말차', 28), ('매장', 28), ('2', 27), ('만들다', 27), ('인데', 27)]","[('좋다', 74), ('', 55), ('맛있다', 42), ('너무', 30), ('대체', 20), ('대체 리뷰', 20), ('리뷰', 20), ('오설록', 20), ('디저트', 19), ('분위기', 17), ('많다', 15), ('사람', 14), ('너무 좋다', 13), ('녹차', 13), ('가다', 12), ('맛', 12), ('친절하다', 12), ('북촌', 11), ('분위기 좋다', 11), ('인테리어', 10), ('향', 10), ('없다', 9), ('예쁘다', 9), ('음료', 9), ('칵테일', 9), ('3층', 8), ('매장', 8), ('메뉴', 8), ('않다', 8), ('오다', 8), ('공간', 7), ('마시다', 7), ('맛있는 디저트', 7), ('뷰', 7), ('사람 많다', 7), ('가격', 6), ('건물', 6), ('녹차 프레', 6), ('들다', 6), ('만들다', 6), ('많이', 6), ('말다', 6), ('먹다', 6), ('뷰 좋다', 6), ('앉다', 6), ('진하다', 6), ('차', 6), ('테라스', 6), ('티', 6), ('티 칵테일', 6)]"
MA010120220810377480,진작카키,"[('', 3306), ('맛있다', 308), ('좋다', 267), ('너무', 134), ('먹다', 134), ('분위기', 134), ('음식', 92), ('친절하다', 73), ('다', 62), ('메뉴', 59), ('굴', 58), ('진짜', 55), ('뇨끼', 54), ('오다', 54), ('보다', 53), ('직원', 52), ('맛', 51), ('방문', 49), ('신선하다', 48), ('울다', 46), ('끼', 41), ('랑', 41), ('진작', 41), ('후', 41), ('깔끔하다', 40), ('분들', 40), ('토마', 39), ('가다', 38), ('파스타', 38), ('나오다', 36), ('마키', 35), ('후토', 35), ('크다', 32), ('싶다', 31), ('플래터', 28), ('곳', 27), ('매장', 26), ('웨이', 26), ('특별하다', 26), ('팅', 26), ('데이트', 25), ('이에요', 25), ('친구', 25), ('카키', 25), ('해산물', 25), ('맛집', 24), ('요', 24), ('정말', 23), ('좋아하다', 23), ('단호박', 22)]","[('맛있다', 85), ('좋다', 59), ('', 54), ('분위기', 40), ('너무', 29), ('분위기 좋다', 27), ('음식', 26), ('먹다', 20), ('진짜', 15), ('친절하다', 14), ('뇨끼', 13), ('깔끔하다', 12), ('신선하다', 12), ('가다', 11), ('너무 좋다', 11), ('맛', 11), ('메뉴', 11), ('굴', 10), ('직원분들', 10), ('오다', 9), ('너무 맛있다', 8), ('대체', 8), ('대체 리뷰', 8), ('리뷰', 8), ('맛있다 ', 8), ('파스타', 8), ('굴튀김', 7), ('넓다', 7), ('맛있다  분위기', 7), ('양', 7), ('정말', 7), ('크다', 7), ('데이트', 6), ('신선하다 맛있다', 6), ('싶다', 6), ('없다', 6), ('울다', 6), ('웨이팅', 6), ('음식 맛있다', 6), ('인테리어', 6), ('적다', 6), ('좋다 음식', 6), ('좋아하다', 6), ('친절한 직원분들', 6), ('특별하다', 6), ('강추', 5), ('나오다', 5), ('들어오다', 5), ('맛있다  먹다', 5), ('매장', 5)]"
1115,블루보틀 삼청 카페,"[('', 2345), ('커피', 176), ('맛있다', 143), ('좋다', 131), ('라떼', 79), ('말다', 70), ('보틀', 62), ('블루', 59), ('없다', 55), ('자리', 55), ('층', 52), ('너무', 49), ('대체', 46), ('리뷰', 46), ('맛', 46), ('먹다', 45), ('다', 42), ('가다', 40), ('많다', 39), ('친절하다', 35), ('보다', 34), ('뷰', 33), ('3', 31), ('사람', 30), ('좌석', 28), ('직원', 27), ('점', 25), ('한', 25), ('않다', 24), ('아이스크림', 23), ('로트', 22), ('비싸다', 22), ('플', 22), ('적', 21), ('앉다', 20), ('요', 20), ('카페', 20), ('매장', 19), ('불편하다', 19), ('예쁘다', 19), ('개인', 18), ('니', 18), ('방문', 18), ('분위기', 18), ('삼청', 18), ('느낌', 17), ('주문', 17), ('가보다', 16), ('곳', 16), ('2', 15)]","[('좋다', 48), ('맛있다', 37), ('', 33), ('커피', 28), ('대체', 23), ('대체 리뷰', 23), ('리뷰', 23), ('라떼', 20), ('너무', 14), ('블루보틀', 13), ('친절하다', 13), ('없다', 12), ('사람', 11), ('3층', 10), ('많다', 10), ('자리', 10), ('가다', 9), ('맛있는 커피', 9), ('맛있다 ', 9), ('마시다', 8), ('매장', 7), ('먹다', 7), ('불편하다', 7), ('사람 많다', 7), ('아이스크림', 7), ('좌석', 7), ('    ', 6), ('분위기', 6), ('비싸다', 6), ('너무 맛있다', 5), ('맛있는라떼', 5), ('분위기 좋다', 5), ('뷰', 5), ('않다', 5), ('예쁘다', 5), ('주문', 5), ('플 로트', 5), ('2층', 4), ('깔끔하다', 4), ('말다', 4), ('맛', 4), ('설명', 4), ('앉다', 4), ('자리 없다', 4), ('직원분', 4), ('직원분들', 4), ('커피 맛', 4), ('      ', 3), ('가격', 3), ('가보다', 3)]"
1110,삼방매,"[('', 4440), ('먹다', 292), ('맛있다', 291), ('라멘', 255), ('차슈', 132), ('돈코츠', 122), ('밥', 105), ('가다', 101), ('국물', 88), ('다', 88), ('맛', 85), ('너무', 80), ('좋다', 79), ('덮다', 72), ('보다', 72), ('않다', 66), ('팅', 62), ('웨이', 59), ('계란', 52), ('많다', 48), ('매다', 48), ('방문', 48), ('0', 47), ('추가', 44), ('생각', 42), ('진짜', 40), ('면', 39), ('들어가다', 38), ('방매', 36), ('정도', 36), ('직원', 36), ('마늘', 35), ('요', 35), ('들다', 34), ('안국', 33), ('기', 30), ('친절하다', 30), ('1', 29), ('넣다', 29), ('없다', 29), ('일본', 29), ('진하다', 29), ('오다', 28), ('가게', 27), ('고', 27), ('맛집', 27), ('분들', 27), ('사람', 27), ('오레', 27), ('이르다', 27)]","[('맛있다', 61), ('', 58), ('먹다', 41), ('라멘', 27), ('가다', 21), ('국물', 21), ('좋다', 20), ('너무', 17), ('웨이팅', 17), ('돈코츠 라멘', 16), ('맛있다 ', 16), ('차슈', 15), ('많다', 13), ('계란', 12), ('리뷰', 12), ('대체', 10), ('대체 리뷰', 10), ('맛', 10), ('방문', 9), ('않다', 9), ('진하다', 9), ('너무 맛있다', 8), ('덮밥', 8), ('옆', 8), ('차슈 덮밥', 8), ('친절하다', 8), ('돈코츠', 7), ('돈코츠라멘', 7), ('많이', 7), ('맛있다  먹다', 7), ('먹다 보다', 7), ('방매', 7), ('안국', 7), ('일본', 7), ('진짜', 7), ('가게', 6), ('들어가다', 6), ('맵다', 6), ('부드럽다', 6), ('아니다', 6), ('아쉽다', 6), ('없다', 6), ('오다', 6), ('음식', 6), ('주문', 6), ('      ', 5), ('고기', 5), ('괜찮다', 5), ('느끼하다', 5), ('맵다 돈코츠 라멘', 5)]"
1100,소금집델리 안국,"[('', 4212), ('맛있다', 271), ('먹다', 230), ('잠봉뵈르', 158), ('보다', 107), ('샌드위치', 97), ('잠봉', 95), ('좋다', 94), ('맛', 83), ('웨이', 82), ('팅', 82), ('없다', 73), ('너무', 67), ('포장', 64), ('루벤', 63), ('다', 59), ('가다', 56), ('집', 47), ('랑', 46), ('버터', 46), ('않다', 45), ('나오다', 42), ('프로', 42), ('매장', 41), ('감자', 39), ('맥주', 38), ('소금', 38), ('오다', 38), ('되다', 37), ('곳', 36), ('대기', 36), ('리뷰', 36), ('마쥬', 36), ('맛집', 36), ('방문', 36), ('느낌', 33), ('빵', 32), ('주문', 32), ('햄', 32), ('그렇다', 30), ('만', 30), ('바게트', 30), ('에는', 30), ('들어가다', 28), ('많다', 28), ('정말', 28), ('피클', 28), ('사람', 27), ('싶다', 27), ('진짜', 27)]","[('맛있다', 60), ('', 44), ('잠봉뵈르', 30), ('먹다', 28), ('좋다', 26), ('샌드위치', 16), ('리뷰', 15), ('너무', 14), ('웨이팅', 14), ('가다', 13), ('대체', 13), ('대체 리뷰', 13), ('맛있다 ', 13), ('잠봉', 13), ('루벤', 12), ('없다', 11), ('포장', 11), ('너무 맛있다', 10), ('맛', 10), ('먹다 보다', 8), ('않다', 8), ('나오다', 7), ('많다', 7), ('사람', 7), ('소금집', 7), ('정말', 7), ('진짜', 7), ('대기', 6), ('들어가다', 6), ('많이', 6), ('매장', 6), ('맥주', 6), ('바게트', 6), ('버터', 6), ('주문', 6), ('기분', 5), ('맛집', 5), ('방문', 5), ('살짝', 5), ('싶다', 5), ('아니다', 5), ('역시', 5), ('오다', 5), ('와인', 5), ('평일', 5), ('      ', 4), ('감자튀김', 4), ('그렇다', 4), ('날', 4), ('낮', 4)]"
MA010120220814042518,핑크래빗가든,"[('', 3157), ('좋다', 191), ('맛있다', 169), ('먹다', 149), ('샐러드', 112), ('프레첼', 108), ('너무', 101), ('맛', 69), ('다', 55), ('예쁘다', 53), ('카페', 52), ('핑크', 49), ('곳', 45), ('메뉴', 45), ('분위기', 44), ('매장', 41), ('친절하다', 41), ('넓다', 39), ('오늘', 39), ('가다', 38), ('슈니첼', 38), ('한', 34), ('야외', 33), ('인테리어', 33), ('커피', 32), ('들어가다', 30), ('신선하다', 30), ('인데', 30), ('맛집', 28), ('가격', 27), ('보다', 26), ('요', 25), ('음식', 25), ('느낌', 24), ('님', 24), ('많다', 24), ('사장', 24), ('주문', 24), ('되다', 23), ('점', 23), ('받다', 22), ('음료', 22), ('프레즐', 22), ('싶다', 21), ('매일', 20), ('해주다', 20), ('공간', 19), ('2', 18), ('날', 18), ('래빗', 18)]","[('좋다', 47), ('맛있다', 44), ('', 30), ('먹다', 23), ('샐러드', 21), ('너무', 19), ('프레첼', 16), ('넓다', 12), ('분위기', 12), ('매장', 11), ('예쁘다', 11), ('친절하다', 11), ('맛', 9), ('신선하다', 9), ('오늘', 9), ('대체', 8), ('대체 리뷰', 8), ('리뷰', 8), ('인테리어', 8), ('카페', 8), ('가다', 6), ('많다', 6), ('음료', 6), ('가격', 5), ('곳', 5), ('너무 맛있다', 5), ('들어가다', 5), ('매장 넓다', 5), ('멋지다', 5), ('메뉴', 5), ('싶다', 5), ('음식', 5), ('정말', 5), ('종류', 5), ('커피', 5), ('건강하다', 4), ('공간', 4), ('그냥', 4), ('그렇다', 4), ('나오다', 4), ('너무 친절하다', 4), ('데이트', 4), ('많이', 4), ('맛있다 ', 4), ('맛있다  먹다', 4), ('매일', 4), ('매일 먹다', 4), ('분위기 좋다', 4), ('빵', 4), ('야외', 4)]"
MA010120220810177316,퀸즈베이커리 삼청점,"[('', 2509), ('맛있다', 176), ('좋다', 155), ('빵', 145), ('커피', 91), ('너무', 75), ('먹다', 59), ('소금', 54), ('많다', 50), ('크림', 50), ('다', 48), ('맛', 43), ('넓다', 42), ('카페', 42), ('않다', 39), ('예쁘다', 37), ('디저트', 35), ('자리', 34), ('테라스', 34), ('직원', 32), ('층', 31), ('말다', 29), ('분위기', 29), ('인테리어', 29), ('없다', 28), ('정말', 26), ('뷰', 25), ('사람', 24), ('친절하다', 24), ('2', 23), ('많이', 23), ('베이커리', 23), ('대체', 22), ('리뷰', 22), ('엔', 22), ('종류', 22), ('들어가다', 21), ('보다', 21), ('매장', 20), ('좌석', 20), ('지다', 20), ('고', 18), ('다양하다', 18), ('들다', 18), ('앉다', 18), ('우유', 18), ('이르다', 18), ('가격', 17), ('나오다', 17), ('랑', 17)]","[('맛있다', 45), ('좋다', 40), ('', 34), ('빵', 25), ('커피', 19), ('너무', 18), ('많다', 12), ('넓다', 11), ('대체', 11), ('대체 리뷰', 11), ('리뷰', 11), ('먹다', 11), ('맛있다 ', 10), ('소금빵', 10), ('예쁘다', 9), ('테라스', 8), ('너무 맛있다', 7), ('디저트', 7), ('맛있는 커피', 7), ('매장', 7), ('뷰', 7), ('자리', 7), ('친절하다', 7), ('맛', 6), ('베이커리', 6), ('분위기', 6), ('않다', 6), ('없다', 6), ('인테리어', 6), ('크림', 6), ('가다', 5), ('말다', 5), ('비싸다', 5), ('빵 맛있다', 5), ('좌석', 5), ('카페', 5), ('2층', 4), ('곳', 4), ('날씨', 4), ('너무 좋다', 4), ('다양하다', 4), ('들어가다', 4), ('분위기 좋다', 4), ('사람 많다', 4), ('생기다', 4), ('싶다', 4), ('야외', 4), ('정말', 4), ('종류', 4), ('직원분들', 4)]"
MA010120220805148419,모자이크 베이커리 북촌점,"[('', 4048), ('맛있다', 350), ('빵', 286), ('너무', 210), ('좋다', 179), ('친절하다', 94), ('먹다', 89), ('다', 83), ('소금', 81), ('직원', 73), ('커피', 65), ('예쁘다', 60), ('분들', 58), ('분위기', 56), ('한', 53), ('보다', 52), ('공간', 50), ('정말', 48), ('베이커리', 46), ('진짜', 39), ('옥', 38), ('자리', 37), ('많다', 36), ('북촌', 36), ('종류', 35), ('랑', 34), ('야외', 34), ('치아바타', 34), ('카페', 34), ('곳', 33), ('들어가다', 33), ('모자이크', 33), ('빵집', 33), ('인테리어', 31), ('테이블', 31), ('치즈', 30), ('느낌', 29), ('들다', 29), ('맛', 29), ('방문', 29), ('케이크', 29), ('레몬', 28), ('가다', 27), ('분', 27), ('않다', 27), ('없다', 27), ('에는', 27), ('애플파이', 26), ('오늘', 25), ('디저트', 24)]","[('맛있다', 77), ('', 51), ('빵', 48), ('너무', 40), ('좋다', 35), ('친절하다', 27), ('너무 맛있다', 16), ('소금빵', 16), ('커피', 16), ('분위기', 15), ('빵 맛있다', 15), ('직원분들', 14), ('먹다', 13), ('예쁘다', 13), ('정말', 13), ('공간', 12), ('너무 좋다', 12), ('베이커리', 10), ('진짜', 10), ('들어가다', 9), ('많다', 9), ('인테리어', 9), ('한옥', 9), ('가다', 8), ('너무 예쁘다', 8), ('북촌', 8), ('않다', 8), ('종류', 8), ('느낌', 7), ('담백하다', 7), ('디저트', 7), ('모자이크', 7), ('오늘', 7), ('진짜 맛있다', 7), ('곳', 6), ('레몬 케이크', 6), ('맛있다 ', 6), ('멋지다', 6), ('분위기 좋다', 6), ('빵 너무', 6), ('빵집', 6), ('없다', 6), ('기분 좋다', 5), ('다양하다', 5), ('맛', 5), ('맛있는 커피', 5), ('맛있다 빵', 5), ('모든', 5), ('방문', 5), ('빵 정말', 5)]"
