상가업소번호,가게명,keyword30_1,keyword30_2
MA010120220812242194,포가레 신촌점,"[('', 2704), ('맛있다', 318), ('너무', 190), ('반', 164), ('쌀국수', 161), ('먹다', 151), ('좋다', 115), ('친절하다', 108), ('오다', 106), ('세', 84), ('쎄다', 81), ('많다', 70), ('신촌', 67), ('서비스', 64), ('방문', 61), ('직원', 57), ('분', 56), ('곱창', 55), ('맛', 49), ('주다', 44), ('보다', 43), ('양도', 43), ('다', 42), ('나오다', 40), ('음식', 39), ('지다', 33), ('엄청', 31), ('개', 30), ('진짜', 29), ('정말', 28), ('매다', 27), ('완전', 27), ('최고', 27), ('푸다', 27), ('두', 26), ('분들', 26), ('가다', 25), ('짜다', 25), ('처음', 25), ('재', 24), ('예요', 22), ('2', 21), ('맛집', 21), ('가성', 19), ('비', 19), ('친구', 19), ('1', 18), ('고', 18), ('곳', 18), ('넘다', 18)]","[('맛있다 ', 93), ('', 43), ('너무', 42), ('좋다', 33), ('먹다', 28), ('친절하다', 26), ('너무 맛있다 ', 24), ('반 쎄다', 24), ('쌀국수', 23), ('많다', 20), ('오다', 20), ('반 세', 18), ('서비스', 15), ('곱창 쌀국수', 13), ('나오다', 12), ('신촌', 11), ('양도', 10), ('엄청', 10), ('양도 많다', 9), ('방문', 8), ('주다', 8), ('직원분들', 8), ('가다', 7), ('곱창', 7), ('너무 너무', 7), ('너무 좋다', 7), ('맛있다  먹다', 7), ('음식', 7), ('정말', 7), ('직원분', 7), ('진짜', 7), ('굿굿굿', 6), ('너무 친절하다', 6), ('맛', 6), ('분 짜다', 6), ('완전', 6), ('처음', 6), ('2 개', 5), ('감사하다', 5), ('너무 너무 맛있다 ', 5), ('두 개', 5), ('맛집', 5), ('서비스 주다', 5), ('재방문', 5), ('친절한 직원분들', 5), ('가성비', 4), ('깔끔하다', 4), ('많다 맛있다 ', 4), ('맛있다', 4), ('맛있다  서비스', 4)]"
MA010120220803188921,소바연구소,"[('', 3133), ('맛있다', 233), ('소바', 192), ('먹다', 139), ('유린', 79), ('기', 70), ('맛', 66), ('보다', 66), ('좋다', 63), ('다', 58), ('바질', 57), ('않다', 53), ('고등어', 46), ('너무', 46), ('온', 44), ('웨이', 44), ('팅', 44), ('메뉴', 41), ('방문', 41), ('없다', 39), ('음식', 36), ('분', 35), ('가다', 34), ('돈까스', 33), ('면', 30), ('아니다', 30), ('추가', 30), ('카츠', 29), ('적', 28), ('나오다', 27), ('들다', 27), ('메밀', 27), ('요', 26), ('진짜', 26), ('굿굿굿', 24), ('이르다', 24), ('추천', 24), ('국물', 23), ('사람', 23), ('와사비', 23), ('느낌', 22), ('깔끔하다', 21), ('냉', 21), ('되다', 21), ('만', 21), ('서다', 21), ('미소', 19), ('데', 18), ('말', 18), ('맞다', 18)]","[('맛있다 ', 61), ('', 40), ('굿굿굿', 24), ('좋다', 22), ('먹다', 18), ('소바', 14), ('유린 기', 13), ('바질소바', 12), ('맛', 11), ('않다', 10), ('없다', 10), ('너무', 9), ('맛있다  먹다', 9), ('음식', 9), ('가다', 8), ('깔끔하다', 8), ('진짜', 8), ('너무 맛있다 ', 7), ('돈까스', 7), ('메뉴', 7), ('아니다', 7), ('고등어', 6), ('국물', 6), ('나다', 6), ('나오다', 6), ('먹다 보다', 6), ('온소바', 6), ('웨이 팅', 6), ('친절하다', 6), ('고등어 온소바', 5), ('괜찮다', 5), ('그냥', 5), ('냉소바', 5), ('맛있다  유린 기', 5), ('분', 5), ('사람', 5), ('오다', 5), ('와사비', 5), ('느낌', 4), ('대기', 4), ('독특하다', 4), ('돈가스', 4), ('들다', 4), ('들어가다', 4), ('많다', 4), ('말', 4), ('맞다', 4), ('면', 4), ('밖', 4), ('시원하다', 4)]"
MA010120220802929059,지니네컵밥,"[('', 1128), ('좋다', 104), ('컵밥', 96), ('맛있다', 88), ('가성', 72), ('비', 72), ('밥', 64), ('요', 64), ('많다', 48), ('많이', 48), ('비빔밥', 48), ('주다', 48), ('친절하다', 48), ('가격', 40), ('곳', 40), ('너무', 40), ('만', 40), ('먹다', 40), ('완전', 40), ('박', 32), ('스퀘어', 32), ('45천원', 24), ('5천원', 24), ('가끔', 24), ('가다', 24), ('굿굿굿', 24), ('금액', 24), ('남다', 24), ('다', 24), ('덮다', 24), ('로운', 24), ('맛집', 24), ('먹기', 24), ('모이', 24), ('못', 24), ('밖에', 24), ('보다', 24), ('세상', 24), ('식당', 24), ('싶다', 24), ('아니다', 24), ('아저씨', 24), ('아주머니', 24), ('안해', 24), ('양', 24), ('양도', 24), ('요즘', 24), ('이나', 24), ('이름', 24), ('이지', 24)]","[('좋다', 48), ('맛있다 ', 40), ('', 24), ('가성비', 24), ('굿굿굿', 24), ('컵밥', 24), ('많다', 16), ('많이', 16), ('완전', 16), ('45천원', 8), ('45천원 밥 먹기', 8), ('5천원', 8), ('5천원 밖에', 8), ('가격', 8), ('가격 대도', 8), ('가격 대도 저렴하다', 8), ('가격 양도', 8), ('가끔', 8), ('가끔 못 먹다', 8), ('가다 곳', 8), ('가다 곳 가성비', 8), ('가성비 좋다', 8), ('가성비 짱짱 인        ', 8), ('가성비 최고 맛 요', 8), ('감사하다', 8), ('곳 이에요', 8), ('구매 요', 8), ('금액', 8), ('금액 5천원', 8), ('남다', 8), ('남다 정도', 8), ('너무', 8), ('너무 좋다', 8), ('덮밥 이나', 8), ('덮밥 이나         덮밥 이나 비빔밥 처럼', 8), ('많다 금액', 8), ('많다 맛있다 ', 8), ('많이 주다', 8), ('많이 줄다', 8), ('맛있다  컵밥', 8), ('맛있다  푸짐하다해 요', 8), ('맛집', 8), ('맛집 완전', 8), ('모이다', 8), ('모이다 식당         박 스퀘어', 8), ('못 먹다', 8), ('못 먹다 남다', 8), ('박 스퀘어', 8), ('박 스퀘어 모이다', 8), ('박 스퀘어 컵밥', 8)]"
MA010120220807413424,영미김밥,"[('', 772), ('김밥', 94), ('맛있다', 79), ('좋다', 55), ('굿굿굿', 54), ('먹다', 49), ('든든하다', 24), ('친절하다', 20), ('않다', 19), ('맛', 15), ('적', 15), ('많다', 14), ('보다', 14), ('없다', 14), ('영미', 14), ('너무', 13), ('밥', 13), ('떡볶이', 12), ('비', 12), ('손님', 12), ('진짜', 11), ('콤보', 11), ('비건', 10), ('가성', 9), ('걱정', 9), ('기다리다', 9), ('먹기', 9), ('명란', 9), ('바쁘다', 9), ('새우', 9), ('응대', 9), ('적당하다', 9), ('정신', 9), ('주문', 9), ('참치', 9), ('킹', 9), ('가다', 8), ('들다', 8), ('만', 8), ('실하다', 8), ('해주다', 8), ('샐러드', 7), ('재료', 7), ('가게', 6), ('기본', 6), ('나은', 6), ('넣다', 6), ('님', 6), ('단골', 6), ('단무지', 6)]","[('굿굿굿', 54), ('맛있다 ', 37), ('좋다', 24), ('', 17), ('김밥', 16), ('먹다', 10), ('든든하다', 8), ('친절하다', 8), ('않다', 6), ('영미김밥', 5), ('가성비', 4), ('많다', 4), ('너무', 3), ('맛있다  친절하다', 3), ('미니 콤보', 3), ('비건김밥', 3), ('없다', 3), ('적당하다', 3), ('진짜', 3), ('킹 새우김밥', 3), ('가다', 2), ('가다 단골 집', 2), ('가성비 좋다', 2), ('김밥 진짜', 2), ('나은', 2), ('넣다', 2), ('단골 집', 2), ('떡볶이', 2), ('맛', 2), ('먹기', 2), ('먹기 좋다', 2), ('보고', 2), ('비건김밥 맛있다 ', 2), ('샐러드김밥', 2), ('손님', 2), ('실하다', 2), ('언제나', 2), ('일주일', 2), ('자꾸', 2), ('장사', 2), ('재료', 2), ('정신 없다', 2), ('제육 덮밥 보다 나은', 2), ('진짜 맛있다 ', 2), ('혼밥', 2), ('        공간', 1), ('        식 감다', 1), ('        엄마', 1), ('1년', 1), ('1년 넘다', 1)]"
MA0101202210A0088461,매머드익스프레스 신촌점,"[('굿굿굿', 110), ('', 89), ('맛있다', 13), ('좋다', 13), ('커피', 13), ('가성', 9), ('비', 9), ('사이즈', 6), ('친절하다', 5), ('괜찮다', 4), ('맛', 4), ('싸다', 4), ('저렴하다', 4), ('조아', 4), ('가능하다', 3), ('대비', 3), ('런가', 3), ('마인드', 3), ('말다', 3), ('부담', 3), ('분', 3), ('샷', 3), ('선택', 3), ('싸구려', 3), ('아메리카노', 3), ('양도', 3), ('없이', 3), ('여자', 3), ('연유', 3), ('요', 3), ('음료', 3), ('인', 3), ('인상', 3), ('저녁', 3), ('진리', 3), ('추가', 3), ('태도', 3), ('파다', 3), ('판매', 3), ('가격', 2), ('라떼', 2), ('마르다', 2), ('많다', 2), ('매머드', 2), ('목', 2), ('반토막', 2), ('베트남', 2), ('빠르다', 2), ('빼다', 2), ('얼음', 2)]","[('굿굿굿', 110), ('맛있다 ', 7), ('좋다', 7), ('가성비', 4), ('친절하다', 3), ('괜찮다', 2), ('사이즈', 2), ('커피', 2), ('가격', 1), ('가격 대비', 1), ('가능하다', 1), ('가능하다 좋다', 1), ('가성비 엄지 척', 1), ('가성비 조아 조아', 1), ('가성비 좋다', 1), ('가성비 최고', 1), ('대비', 1), ('대비 맛있다 ', 1), ('라떼', 1), ('라떼 맛있다 ', 1), ('런가', 1), ('런가 태도', 1), ('마인드', 1), ('마인드 싸구려 인', 1), ('많다', 1), ('맛', 1), ('맛 괜찮다', 1), ('맛 요', 1), ('맛있다  양도', 1), ('매머드 커피', 1), ('매머드 커피 샷 추가 아메리카노', 1), ('목 마르다', 1), ('목 마르다 부담 없이', 1), ('반토막 이네 요', 1), ('베트남', 1), ('베트남 연유 커피', 1), ('부담 없이', 1), ('부담 없이 커피 말다', 1), ('사이즈 선택', 1), ('사이즈 진리', 1), ('샷 추가 아메리카노         샷 추가 아메리카노 사이즈', 1), ('선택', 1), ('선택 가능하다', 1), ('싸구려 인', 1), ('싸구려 인 판매', 1), ('싸다', 1), ('싸다 괜찮다', 1), ('싸다 빠르다', 1), ('싸다 빠르다 맛있다 ', 1), ('양도', 1)]"
MA010120220812161279,메가MGC커피 창천점,"[('', 306), ('굿굿굿', 92), ('좋다', 32), ('맛있다', 18), ('너무', 17), ('음료', 11), ('나오다', 9), ('노래', 9), ('없다', 9), ('먹다', 8), ('커피', 8), ('많다', 7), ('맛', 7), ('가다', 6), ('만', 6), ('소리', 6), ('시끄럽다', 6), ('엄청', 6), ('에는', 6), ('인', 6), ('인지', 6), ('주문', 6), ('친절하다', 6), ('그냥', 5), ('님', 5), ('메', 5), ('샷추', 5), ('손님', 5), ('시원하다', 5), ('않다', 5), ('전', 5), ('가격', 4), ('매장', 4), ('2030분', 3), ('21시', 3), ('22시', 3), ('3', 3), ('500원', 3), ('간격', 3), ('거나', 3), ('게', 3), ('계속', 3), ('고', 3), ('고소하다', 3), ('귀가', 3), ('그렇다', 3), ('근데', 3), ('기준', 3), ('까지라고', 3), ('깔끔하다', 3)]","[('굿굿굿', 92), ('좋다', 20), ('맛있다 ', 7), ('', 6), ('많다', 3), ('커피', 3), ('가다', 2), ('나오다', 2), ('너무', 2), ('노래', 2), ('매장', 2), ('먹다', 2), ('메', 2), ('소리', 2), ('손님', 2), ('엄청', 2), ('음료', 2), ('2030분', 1), ('2030분         만들기전', 1), ('2030분 암 묵적 인', 1), ('21시 라고', 1), ('21시 라고 그렇다', 1), ('22시 까지라고', 1), ('3 잔', 1), ('3 잔 만들다', 1), ('500원', 1), ('    ', 1), ('가격', 1), ('가격  비싸다 않다', 1), ('가격  비싸다 않다 맛', 1), ('가격 아아', 1), ('가다         가다 음료', 1), ('가다 오전 에는', 1), ('간격', 1), ('간격 넓다', 1), ('게', 1), ('게 너무', 1), ('계속', 1), ('계속 나오다', 1), ('고고', 1), ('고소하다', 1), ('고소하다 참새 방앗간', 1), ('괜찮다', 1), ('귀가', 1), ('귀가 아픔', 1), ('그냥', 1), ('그냥 냥', 1), ('그냥 냥 메', 1), ('그냥 흡수', 1), ('그렇다', 1)]"
MA010120220809408624,독립문설렁탕,"[('', 782), ('맛있다', 76), ('좋다', 71), ('가성', 63), ('비', 62), ('굿굿굿', 42), ('많다', 27), ('설렁탕', 27), ('김치', 24), ('너무', 18), ('저렴하다', 18), ('싸다', 17), ('친절하다', 17), ('진짜', 16), ('먹다', 15), ('가격', 14), ('그냥', 13), ('맛집', 13), ('맛', 12), ('커피', 12), ('쿠폰', 12), ('나오다', 11), ('주다', 11), ('음식', 10), ('분', 9), ('불친절하다', 9), ('아니다', 9), ('오다', 9), ('정말', 9), ('택배', 9), ('혼밥', 9), ('보다', 8), ('서비스', 8), ('양도', 8), ('없다', 8), ('찜', 8), ('최고', 8), ('집', 7), ('가다', 6), ('갈다', 6), ('끼', 6), ('나다', 6), ('느낌', 6), ('다시다', 6), ('대비', 6), ('되어다', 6), ('말', 6), ('맛없다', 6), ('먹기', 6), ('메뉴', 6)]","[('굿굿굿', 42), ('맛있다 ', 33), ('좋다', 23), ('가성비', 22), ('', 13), ('많다', 8), ('저렴하다', 8), ('김치', 7), ('설렁탕', 7), ('친절하다', 7), ('가성비 좋다', 6), ('싸다', 6), ('너무', 5), ('그냥', 4), ('맛집', 4), ('음식', 4), ('진짜', 4), ('가격', 3), ('가성비 맛집', 3), ('김치 찜', 3), ('나오다', 3), ('맛', 3), ('맛있다  가성비', 3), ('먹다', 3), ('정말', 3), ('주다', 3), ('가다', 2), ('가성비 ', 2), ('가성비  좋다', 2), ('가성비 대비', 2), ('가성비 정말', 2), ('나다', 2), ('다시다', 2), ('많다 맛있다 ', 2), ('맛 좋다', 2), ('맛없다', 2), ('맛있다', 2), ('맛있다  많다', 2), ('맛있다  먹다', 2), ('메뉴', 2), ('분', 2), ('서비스', 2), ('선불', 2), ('설렁탕 집', 2), ('식당', 2), ('신촌', 2), ('싸다 맛있다 ', 2), ('아니다', 2), ('않다', 2), ('양도', 2)]"
MA010120220800625157,잠바주스 연세세브란스점,"[('', 392), ('굿굿굿', 46), ('맛있다', 43), ('좋다', 36), ('음료', 28), ('너무', 16), ('분', 15), ('커피', 15), ('맛', 12), ('주문', 12), ('비싸다', 11), ('친절하다', 11), ('아보카도', 10), ('건강하다', 9), ('말', 9), ('정말', 9), ('직원', 9), ('뒤', 8), ('바쁘다', 8), ('영수증', 8), ('주스', 8), ('샌드위치', 7), ('끄다', 6), ('나오다', 6), ('만들다', 6), ('맛없다', 6), ('병원', 6), ('분들', 6), ('불친절하다', 6), ('없이', 6), ('요', 6), ('잔', 6), ('파다', 6), ('확인', 6), ('나용', 5), ('돌아서다', 5), ('많다', 5), ('먼저', 5), ('수박', 5), ('수술', 5), ('신선하다', 5), ('아쉽다', 5), ('4', 3), ('5', 3), ('6800원', 3), ('가다', 3), ('갑상선', 3), ('거', 3), ('괜찮다', 3), ('귀찮다', 3)]","[('굿굿굿', 46), ('좋다', 27), ('맛있다 ', 20), ('', 7), ('아보카도 커피', 5), ('음료', 5), ('건강하다', 4), ('커피', 4), ('너무', 3), ('샌드위치', 3), ('아보카도', 3), ('주문', 3), ('괜찮다', 2), ('너무  비싸다', 2), ('만들다', 2), ('맛', 2), ('맛 나용', 2), ('맛있다', 2), ('병원', 2), ('샌드위치 맛있다 ', 2), ('시원하다', 2), ('신선하다', 2), ('음료 맛있다 ', 2), ('정말', 2), ('친절하다', 2), (' 비싸다', 1), (' 비싸다 맛있다 ', 1), (' 비싸다 생각', 1), (' 비싸다 정말', 1), ('       ', 1), ('        끄다알이고', 1), ('        음료', 1), ('        주문', 1), ('        처리', 1), ('        커피숍', 1), ('4 잔 뿐', 1), ('4 잔 뿐 말씀드리다', 1), ('5 잔 인데', 1), ('5 잔 인데 4 잔 뿐', 1), ('6800원', 1), ('6800원 맛 나용', 1), ('    주스', 1), ('    주스 맛 나용', 1), ('    ', 1), ('가다', 1), ('갑상선 수술 땐', 1), ('갑상선 수술 땐 지방 섭취', 1), ('건강', 1), ('건강 최고', 1), ('건강하다 맛', 1)]"
MA010120220812815107,파리바게뜨 카페이대역점,"[('', 204), ('좋다', 39), ('굿굿굿', 35), ('맛있다', 27), ('친절하다', 22), ('빵', 17), ('다양하다', 14), ('자주', 13), ('직원', 10), ('분', 9), ('이용', 8), ('많다', 7), ('종류', 7), ('곳', 6), ('넘다', 6), ('데우다', 6), ('물어보다', 6), ('아침', 6), ('위치', 6), ('편하다', 6), ('방문', 5), ('이라서', 5), ('가요', 4), ('분들', 4), ('상품', 4), ('쓰다', 4), ('오다', 4), ('그대로', 3), ('금방', 3), ('기본', 3), ('기분', 3), ('길', 3), ('나름', 3), ('나오다', 3), ('남자', 3), ('너무', 3), ('늘다', 3), ('대다', 3), ('대해', 3), ('동', 3), ('되어다', 3), ('리뷰', 3), ('만', 3), ('많이', 3), ('매장', 3), ('먹다', 3), ('물가', 3), ('봉투', 3), ('비싸다', 3), ('빵구', 3)]","[('굿굿굿', 35), ('좋다', 27), ('맛있다 ', 23), ('친절하다', 9), ('다양하다', 7), ('자주', 5), ('', 3), ('많다', 3), ('위치', 3), ('위치 좋다', 3), ('가요', 2), ('방문', 2), ('빵', 2), ('빵 맛있다 ', 2), ('상품', 2), ('상품 다양하다', 2), ('오다', 2), ('이용', 2), ('자주 가요', 2), ('종류', 2), ('좋다 오다', 2), ('친절하다 자주', 2), (' 비싸다 졋 늘다', 1), (' 비싸다 졋 늘다 요기', 1), ('가다', 1), ('강추', 1), ('곳 이라서', 1), ('곳 이라서         곳 이라서빵', 1), ('곳 이라서 편하다', 1), ('괜츈함', 1), ('금방', 1), ('금방 동 서', 1), ('기본 적', 1), ('기본 적 데우다 먹다', 1), ('기분', 1), ('기분좋다', 1), ('길', 1), ('길 방문', 1), ('나름', 1), ('나름 괜츈함', 1), ('나오다', 1), ('나오다빵 이름', 1), ('남자 분', 1), ('남자 분 친절하다', 1), ('너무', 1), ('너무 좋다', 1), ('넘다 넘다', 1), ('넘다 넘다 친절하다', 1), ('다양하다 맛있다 ', 1), ('다양하다 제품', 1)]"
MA010120220802691019,타코벨 신촌점,"[('', 596), ('맛있다', 60), ('먹다', 42), ('좋다', 31), ('타코', 31), ('굿굿굿', 27), ('너무', 24), ('맛', 21), ('다', 17), ('타코벨', 17), ('보다', 16), ('많다', 15), ('넓다', 14), ('매장', 14), ('만', 12), ('싶다', 12), ('음식', 12), ('층', 12), ('적다', 11), ('요', 10), ('2', 9), ('가격', 9), ('매다', 9), ('오래', 9), ('좋아하다', 9), ('주문', 9), ('짜다', 9), ('처음', 9), ('나초', 8), ('소스', 8), ('오랜', 7), ('가다', 6), ('가보다', 6), ('나오다', 6), ('나쵸', 6), ('되다', 6), ('모기', 6), ('받다', 6), ('브리또', 6), ('비싸다', 6), ('생각나다', 6), ('식', 6), ('양도', 6), ('에도', 6), ('이렇게', 6), ('진짜', 6), ('집', 6), ('포장', 6), ('간단하다', 5), ('갈다', 5)]","[('맛있다 ', 32), ('굿굿굿', 27), ('좋다', 19), ('', 13), ('먹다', 8), ('너무', 7), ('타코벨', 6), ('넓다', 4), ('많다', 4), ('매장', 4), ('맛', 3), ('싶다', 3), ('적다', 3), ('좋아하다', 3), ('짜다', 3), ('처음', 3), ('타코', 3), ('타코 먹다', 3), ('타코벨 맛있다 ', 3), ('2 층', 2), ('가격', 2), ('가다', 2), ('가보다', 2), ('간단하다', 2), ('갈다', 2), ('기다리다', 2), ('나오다', 2), ('나쵸', 2), ('너무 맛있다 ', 2), ('매장 넓다', 2), ('먹다 맛있다 ', 2), ('먹다 싶다', 2), ('브리또', 2), ('생각나다', 2), ('신촌', 2), ('양', 2), ('오래', 2), ('오래 기다리다', 2), ('오랜 만', 2), ('음식', 2), ('주문', 2), ('친절하다', 2), ('타코 집', 2), (' 비싸다', 1), (' 비싸다 만큼', 1), (' 비싸다 짐', 1), (' 비싸다 짐 하드 타코', 1), ('        또띠아', 1), ('1 층', 1), ('1 층 너무 많다', 1)]"
